sepal length,sepal width,petal length,petal width,label,given_label,predicted_label,suggested_label,self_confidence,alternative_prob,quality_score,is_label_issue,rank
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9996463769222179,0.000353621535786253,0.9996463769222179,False,3000
4.4,3.1,1.1,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9473107467546219,0.05268540896347408,0.9473107467546219,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9744656311962572,0.02553322499336656,0.9744656311962572,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9442043042560371,0.05578192738273796,0.9442043042560371,False,3000
4.5,3.2,1.3,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9732515392063156,0.02674844729431715,0.9732515392063156,False,3000
4.9,3.0,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9467474123920329,0.053248693716093726,0.9467474123920329,False,3000
4.9,3.4,1.6,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9982578695286971,0.0011544324540313244,0.9982578695286971,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9995739298990088,0.0004260670805213091,0.9995739298990088,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9685724779685331,0.0314161746149376,0.9685724779685331,False,3000
4.9,3.0,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9309127067857496,0.052958601296147094,0.9309127067857496,False,3000
4.9,3.0,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9945806659439504,0.0049692859135330855,0.9945806659439504,False,3000
5.2,3.5,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9571882449003688,0.04243020417804636,0.9571882449003688,False,3000
5.0,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9878963612047647,0.006564998203584666,0.9878963612047647,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9903888689585233,0.009573011382140008,0.9903888689585233,False,3000
5.4,3.9,1.6,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9927444673742325,0.005198554242775072,0.9927444673742325,False,3000
5.0,3.3,1.6,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9861386773759957,0.013427389352802764,0.9861386773759957,False,3000
5.3,3.9,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9961208765971985,0.0037197343368912377,0.9961208765971985,False,3000
5.1,3.3,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9948060592205709,0.003292548717459511,0.9948060592205709,False,3000
5.4,4.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9800747148999709,0.019441763199016797,0.9800747148999709,False,3000
5.1,3.8,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9965634379623415,0.003323909750780884,0.9965634379623415,False,3000
5.1,3.7,1.5,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9653241623187792,0.021837186770405997,0.9653241623187792,False,3000
5.1,3.8,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9928566077215865,0.0059598114135439514,0.9928566077215865,False,3000
4.9,3.4,1.8,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9977677324126716,0.0021038789334462938,0.9977677324126716,False,3000
5.1,3.7,1.5,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9956170354247234,0.00366417148409614,0.9956170354247234,False,3000
5.1,3.5,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.8188932549667033,0.18109515368338278,0.8188932549667033,False,3000
5.0,3.3,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.994730174108463,0.0034098826701541374,0.994730174108463,False,3000
5.4,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-virginica,Iris-virginica,0.2254995080169344,0.7744843777970956,0.2254995080169344,True,3000
5.4,3.4,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9639040611604018,0.024569729039981326,0.9639040611604018,False,3000
5.7,3.8,1.6,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9960798068269396,0.0037533688109615917,0.9960798068269396,False,3000
5.0,3.5,1.3,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9775426661249987,0.02242149364411199,0.9775426661249987,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9999296635092163,7.033600100698268e-05,0.9999296635092163,False,3000
4.6,3.2,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9980098455176873,0.0019900728575878214,0.9980098455176873,False,3000
5.0,3.5,1.3,0.3,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9862420943326514,0.013756985413288396,0.9862420943326514,False,3000
5.1,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9860069147680469,0.013993058911111342,0.9860069147680469,False,3000
4.6,3.4,1.5,0.3,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9999990660962441,9.3390375506167e-07,0.9999990660962441,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9998368107991776,0.00016318855259167588,0.9998368107991776,False,3000
4.6,3.4,1.5,0.3,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.8599684466827823,0.1400103523713308,0.8599684466827823,False,3000
5.0,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9740047543584033,0.025995233529632813,0.9740047543584033,False,3000
5.3,4.0,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.6983154697214232,0.3015380613858671,0.6983154697214232,False,3000
5.4,3.9,1.6,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9449749853127513,0.05502282089476389,0.9449749853127513,False,3000
5.1,3.8,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.7702144211949149,0.22977119617172595,0.7702144211949149,False,3000
5.1,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9996091554246022,0.00039084283251898894,0.9996091554246022,False,3000
4.7,3.4,1.5,0.3,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.7702144211949149,0.22977119617172595,0.7702144211949149,False,3000
4.9,3.0,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.8490213968752127,0.1508861889561419,0.8490213968752127,False,3000
4.7,3.1,1.5,0.3,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9998550019575152,0.0001449974830285023,0.9998550019575152,False,3000
4.7,3.2,1.3,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.6906539113885469,0.30933798592991835,0.6906539113885469,False,3000
5.5,3.7,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9634921913441786,0.036507721654098886,0.9634921913441786,False,3000
5.4,3.4,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9996664594020085,0.000333539057613213,0.9996664594020085,False,3000
5.6,4.4,1.5,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.8886389669331751,0.11122278532700078,0.8886389669331751,False,3000
5.3,3.9,1.3,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9897049255061295,0.01029414085431901,0.9897049255061295,False,3000
5.4,3.9,1.6,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9970931201006444,0.002906857682486954,0.9970931201006444,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9984114694027661,0.0015885298458263202,0.9984114694027661,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9985480077391061,0.0014519865943012301,0.9985480077391061,False,3000
5.2,3.7,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9999228476093357,7.715238806792757e-05,0.9999228476093357,False,3000
4.3,3.0,1.1,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9267848721866101,0.07318426074625867,0.9267848721866101,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9998548485037908,0.00014515096602738643,0.9998548485037908,False,3000
4.8,3.1,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9940748622110052,0.005925082236038294,0.9940748622110052,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9980977403148569,0.0019022345127040741,0.9980977403148569,False,3000
4.9,3.4,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9905676715394709,0.009431456687004363,0.9905676715394709,False,3000
4.9,3.4,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9992125816905572,0.0007874116528414942,0.9992125816905572,False,3000
5.3,3.9,1.8,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9997368723855149,0.00026312761049389506,0.9997368723855149,False,3000
5.1,3.7,1.5,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9994215130494233,0.000578291856314617,0.9994215130494233,False,3000
4.8,3.1,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.874659146447532,0.12534070357178492,0.874659146447532,False,3000
5.0,3.3,1.6,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.998873522072791,0.0011264736643160017,0.998873522072791,False,3000
5.3,4.0,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9998758373593962,0.0001241423231651118,0.9998758373593962,False,3000
5.0,3.4,1.6,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9853976259287893,0.014494922745098482,0.9853976259287893,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.995801539813916,0.0041984593918324925,0.995801539813916,False,3000
5.4,3.9,1.5,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9467474123920329,0.053248693716093726,0.9467474123920329,False,3000
5.7,4.4,1.5,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9567245382615084,0.043274934012947776,0.9567245382615084,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9938679943357681,0.006131938471257328,0.9938679943357681,False,3000
5.7,4.1,1.3,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.8740621817810007,0.12591102929446218,0.8740621817810007,False,3000
5.0,3.6,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9990780033284974,0.0009219912824390758,0.9990780033284974,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.8809875478531841,0.11901218720604353,0.8809875478531841,False,3000
4.5,3.1,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9803451078681745,0.019644480500905937,0.9803451078681745,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9741137858791649,0.025886020479601056,0.9741137858791649,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9990166656514896,0.0009833100100689427,0.9990166656514896,False,3000
4.9,3.0,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.997947771318794,0.0020522236710695733,0.997947771318794,False,3000
5.5,4.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9909886960946805,0.007315394158262096,0.9909886960946805,False,3000
5.1,3.8,1.6,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9969999324661921,0.0028779049616450554,0.9969999324661921,False,3000
5.0,3.4,1.6,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9969227004155039,0.0029689170479814606,0.9969227004155039,False,3000
4.4,3.1,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9853976259287893,0.014494922745098482,0.9853976259287893,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9645391433115901,0.033739432741704704,0.9645391433115901,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9967037810178395,0.0032372213031725684,0.9967037810178395,False,3000
5.0,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9956170354247234,0.00366417148409614,0.9956170354247234,False,3000
5.2,3.5,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9982020971254245,0.0014712974580022426,0.9982020971254245,False,3000
4.4,3.1,1.1,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.6208633260380677,0.37912040034111,0.6208633260380677,False,3000
4.8,3.0,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9753634237216486,0.02360053377737865,0.9753634237216486,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9963973672316481,0.0034519507447120226,0.9963973672316481,False,3000
4.4,2.9,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9890125828030728,0.010936593560451376,0.9890125828030728,False,3000
4.6,3.4,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.838728340907337,0.1612414098127321,0.838728340907337,False,3000
5.1,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9267202250271546,0.057218152236902575,0.9267202250271546,False,3000
5.4,3.5,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9832420844132107,0.01671001544758871,0.9832420844132107,False,3000
4.9,3.1,1.6,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9545717255740248,0.04539120317858965,0.9545717255740248,False,3000
4.7,3.2,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9856352443703116,0.014257418218566133,0.9856352443703116,False,3000
5.2,3.7,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9805780519404984,0.018926433512979925,0.9805780519404984,False,3000
4.6,2.5,1.3,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9990657320827788,0.0009202956240108087,0.9990657320827788,False,3000
4.6,3.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-virginica,Iris-virginica,0.3275831767286539,0.6724062868334054,0.3275831767286539,True,3000
5.1,3.8,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9667828186016216,0.03320706806665481,0.9667828186016216,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9897856796908058,0.010174175117080984,0.9897856796908058,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9944720974793018,0.005489254197987855,0.9944720974793018,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9970089414019171,0.002970986493281589,0.9970089414019171,False,3000
4.7,3.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9893953234937157,0.010529327728760056,0.9893953234937157,False,3000
4.6,3.4,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9972950366095218,0.00263448500175699,0.9972950366095218,False,3000
4.6,3.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9650791037878605,0.03397094989460457,0.9650791037878605,False,3000
5.1,3.5,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9905422178797777,0.00929562253826687,0.9905422178797777,False,3000
5.3,3.7,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9639040611604018,0.024569729039981326,0.9639040611604018,False,3000
5.5,3.9,1.5,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9985321049288619,0.0009495844383648907,0.9985321049288619,False,3000
5.2,4.0,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.98100054215395,0.017898807272634785,0.98100054215395,False,3000
5.3,3.5,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9241832793572473,0.07580841251527205,0.9241832793572473,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9851801295803598,0.01394159826738436,0.9851801295803598,False,3000
5.1,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9990657320827788,0.0009202956240108087,0.9990657320827788,False,3000
5.0,3.5,1.6,0.6,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9963812487841703,0.0032058376154393727,0.9963812487841703,False,3000
4.7,3.2,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9996301751615682,0.00034247240324025344,0.9996301751615682,False,3000
5.1,3.5,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9307591256468015,0.059207897354048064,0.9307591256468015,False,3000
5.0,3.5,1.3,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9535801217870119,0.04638040963960642,0.9535801217870119,False,3000
4.5,3.2,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9828829482324057,0.017064423390132723,0.9828829482324057,False,3000
5.8,4.0,1.1,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9964016405751909,0.0034745205933174707,0.9964016405751909,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9953383587181527,0.003333240626196352,0.9953383587181527,False,3000
5.1,3.5,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9908906624535928,0.008402739954326891,0.9908906624535928,False,3000
5.1,3.7,1.5,0.4,Iris-setosa,Iris-versicolor,Iris-virginica,Iris-virginica,0.32033732394353237,0.6796532849183549,0.32033732394353237,True,3000
5.2,3.7,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.5727738022015202,0.42721726929179676,0.5727738022015202,False,3000
5.4,3.9,1.5,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9901104713353179,0.00956138611551922,0.9901104713353179,False,3000
4.9,3.0,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9961208765971985,0.0037197343368912377,0.9961208765971985,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.996229278387381,0.003682919472773885,0.996229278387381,False,3000
4.8,3.4,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9995121266243413,0.00048787336175183486,0.9995121266243413,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.7763661857680593,0.22363134093299056,0.7763661857680593,False,3000
5.4,4.0,1.3,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.993137996990003,0.004191897589889719,0.993137996990003,False,3000
5.1,3.5,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9095097907766401,0.09042340708233404,0.9095097907766401,False,3000
5.2,3.7,1.6,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9947792368635437,0.003379055553793728,0.9947792368635437,False,3000
4.4,3.0,1.1,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9981674033978737,0.0015341525675804408,0.9981674033978737,False,3000
4.9,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9981467524392,0.001556058223770193,0.9981467524392,False,3000
4.6,3.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9961651876712101,0.0033559756316423432,0.9961651876712101,False,3000
5.0,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9922555425831179,0.0046505466172775305,0.9922555425831179,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9964350229186387,0.0033558499935714046,0.9964350229186387,False,3000
5.2,4.0,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9987236766035817,0.0007522978745924135,0.9987236766035817,False,3000
5.4,3.9,1.6,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9827837471262704,0.016893620677375657,0.9827837471262704,False,3000
5.2,3.8,1.8,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9550148789503743,0.044968393069992424,0.9550148789503743,False,3000
5.0,3.2,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9972343063720189,0.0019849292812910975,0.9972343063720189,False,3000
5.0,3.5,1.3,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9944720974793018,0.005489254197987855,0.9944720974793018,False,3000
5.2,3.5,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9894655992038468,0.010497457579957325,0.9894655992038468,False,3000
5.1,3.9,1.6,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9893800673771374,0.005694525264206011,0.9893800673771374,False,3000
4.9,3.4,1.6,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9800024068073355,0.01618262550434426,0.9800024068073355,False,3000
4.7,3.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9372224642878033,0.06274587776660438,0.9372224642878033,False,3000
5.4,3.9,1.3,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9874255025991353,0.011609873475500696,0.9874255025991353,False,3000
4.6,3.0,1.3,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9724526473216404,0.02749208498192791,0.9724526473216404,False,3000
5.2,4.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9879347828058991,0.010429732453354011,0.9879347828058991,False,3000
4.6,3.2,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9837803851423242,0.013692891164790357,0.9837803851423242,False,3000
4.7,3.2,1.3,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9978091487095081,0.0018353633028407885,0.9978091487095081,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9831123473048053,0.014399933507965817,0.9831123473048053,False,3000
4.6,3.1,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9267202250271546,0.057218152236902575,0.9267202250271546,False,3000
5.1,3.5,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9805780519404984,0.018926433512979925,0.9805780519404984,False,3000
4.8,3.1,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.6485820085346229,0.35139908217911403,0.6485820085346229,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9904524053002547,0.00951350822637885,0.9904524053002547,False,3000
4.8,3.0,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9901456920756564,0.009816225555400081,0.9901456920756564,False,3000
5.2,3.4,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9953659885266866,0.0027146779796629323,0.9953659885266866,False,3000
